1468514638.834464,RPM,1127.0,r/min
1468514638.835041,Consumption,3.9,l/h
1468514638.934471,RPM,1128.0,r/min
1468514638.935046,Consumption,4.2,l/h
1468514639.036416,RPM,1129.0,r/min
1468514639.036993,Consumption,4.2,l/h
1468514639.134475,RPM,1128.0,r/min
1468514639.135052,Consumption,4.0,l/h
1468514639.234485,RPM,1128.0,r/min
1468514639.235069,Consumption,4.0,l/h
1468514639.334452,RPM,1128.0,r/min
1468514639.335028,Consumption,3.9,l/h
1468514639.435086,RPM,1128.0,r/min
1468514639.435661,Consumption,4.0,l/h
1468514639.534756,RPM,1128.0,r/min
1468514639.535331,Consumption,4.0,l/h
1468514639.634406,RPM,1128.0,r/min
1468514639.634982,Consumption,4.0,l/h
1468514639.734472,RPM,1126.0,r/min
1468514639.735049,Consumption,4.1,l/h
1468514639.836245,RPM,1126.0,r/min
1468514639.836823,Consumption,3.9,l/h
1468514639.934480,RPM,1126.0,r/min
1468514639.935056,Consumption,4.0,l/h
1468514640.035071,RPM,1125.0,r/min
1468514640.035646,Consumption,3.9,l/h
1468514640.135087,RPM,1126.0,r/min
1468514640.135665,Consumption,4.0,l/h
1468514640.236712,RPM,1126.0,r/min
1468514640.237283,Consumption,3.9,l/h
1468514640.334563,RPM,1127.0,r/min
1468514640.335140,Consumption,3.9,l/h
1468514640.434529,RPM,1129.0,r/min
1468514640.435105,Consumption,3.9,l/h
1468514640.534467,RPM,1128.0,r/min
1468514640.535043,Consumption,4.1,l/h
1468514640.636119,RPM,1128.0,r/min
1468514640.636694,Consumption,4.0,l/h
1468514640.734659,RPM,1127.0,r/min
1468514640.735221,Consumption,4.0,l/h
1468514640.834508,RPM,1125.0,r/min
1468514640.835086,Consumption,3.8,l/h
1468514640.934652,RPM,1121.0,r/min
1468514640.935224,Consumption,3.5,l/h
1468514641.036826,RPM,1114.0,r/min
1468514641.037417,Consumption,3.6,l/h
1468514641.134624,RPM,1114.0,r/min
1468514641.135206,Consumption,3.6,l/h
1468514641.234521,RPM,1113.0,r/min
1468514641.235093,Consumption,3.7,l/h
1468514641.334568,RPM,1114.0,r/min
1468514641.335156,Consumption,3.8,l/h
1468514641.435806,RPM,1114.0,r/min
1468514641.436394,Consumption,3.8,l/h
1468514641.534528,RPM,1113.0,r/min
1468514641.535118,Consumption,3.8,l/h
1468514641.634479,RPM,1113.0,r/min
1468514641.635054,Consumption,3.9,l/h
1468514641.734512,RPM,1114.0,r/min
1468514641.735089,Consumption,3.7,l/h
1468514641.835077,RPM,1115.0,r/min
1468514641.835674,Consumption,3.6,l/h
1468514641.934664,RPM,1116.0,r/min
1468514641.935252,Consumption,3.6,l/h
1468514642.035177,RPM,1114.0,r/min
1468514642.035761,Consumption,3.8,l/h
1468514642.134554,RPM,1113.0,r/min
1468514642.135132,Consumption,4.0,l/h
1468514642.235954,RPM,1114.0,r/min
1468514642.236535,Consumption,3.9,l/h
1468514642.334663,RPM,1115.0,r/min
1468514642.335240,Consumption,3.9,l/h
1468514642.434526,RPM,1113.0,r/min
1468514642.435102,Consumption,3.7,l/h
1468514642.534521,RPM,1115.0,r/min
1468514642.535091,Consumption,3.7,l/h
1468514642.636810,RPM,1114.0,r/min
1468514642.637389,Consumption,3.8,l/h
1468514642.734804,RPM,1115.0,r/min
1468514642.735387,Consumption,3.8,l/h
1468514642.834457,RPM,1115.0,r/min
1468514642.835042,Consumption,3.8,l/h
1468514642.934498,RPM,1114.0,r/min
1468514642.935071,Consumption,3.7,l/h
1468514643.036641,RPM,1113.0,r/min
1468514643.037214,Consumption,3.7,l/h
1468514643.134666,RPM,1114.0,r/min
1468514643.135247,Consumption,3.6,l/h
1468514643.234656,RPM,1115.0,r/min
1468514643.235236,Consumption,3.6,l/h
1468514643.334507,RPM,1116.0,r/min
1468514643.335092,Consumption,3.8,l/h
